category,common_name,countries,scientific_name
Odd Shaped Swimmers,Buffalo Trunkfish,Bermuda,Lactophrys trigonus
Odd Shaped Swimmers,Buffalo Trunkfish,Brazil,Lactophrys trigonus
Odd Shaped Swimmers,Buffalo Trunkfish,Belize,Lactophrys trigonus
Odd Shaped Swimmers,Buffalo Trunkfish,Canada,Lactophrys trigonus
Odd Shaped Swimmers,Buffalo Trunkfish,Colombia,Lactophrys trigonus
Odd Shaped Swimmers,Buffalo Trunkfish,Costa Rica,Lactophrys trigonus
Odd Shaped Swimmers,Buffalo Trunkfish,Cuba,Lactophrys trigonus
Odd Shaped Swimmers,Buffalo Trunkfish,Dominican Republic,Lactophrys trigonus
Odd Shaped Swimmers,Buffalo Trunkfish,French Guiana,Lactophrys trigonus
Odd Shaped Swimmers,Buffalo Trunkfish,Guatemala,Lactophrys trigonus
Odd Shaped Swimmers,Buffalo Trunkfish,Guyana,Lactophrys trigonus
Odd Shaped Swimmers,Buffalo Trunkfish,Honduras,Lactophrys trigonus
Odd Shaped Swimmers,Buffalo Trunkfish,Haiti,Lactophrys trigonus
